50,CN,Beijing,Dongcheng District,Xinhua Department Store,"LILY Counter, 3/F, No. 1, Northern St., Xinjiekou Dist., Xicheng Dist., Beijing",13366470296," 116.377868,39.953619"
51,CN,Beijing,Dongcheng District,SOGO,"LILY, 4/F, SOGO, No. 8, Xuanwumenwai Main St., Xicheng Dist., Beijing",13366467933," 116.382398,39.90277"
52,CN,Beijing,Dongcheng District,Beijing Chengxianghuamao,"LILY, 3/F, Chengxianghuamao, No. 23, Fuxing Rd., Haidian Dist.",68298764," 116.315283,39.914967"
53,CN,Beijing,Dongcheng District,Beijing Ganjiakou Tower,"LILY Counter, 2/F, No. 17, Sanlihe Rd.,  Haidian Dist., Beijing",13366468232," 116.340194,39.933123"
54,CN,Beijing,Dongcheng District,Wanliu Mall,"LILY, 2/F, BHGWanliu Mall, No. 2, Bagou Rd., Haidian Dist., Beijing",13366465083," 116.301908,39.979222"
55,CN,Beijing,Dongcheng District,The Gate,"LILY, 3/F, Xinzhongguan Building, No. 19, Zhongguancun Main St., Haidian Dist., Beijing",15712887672," 116.322348,39.984364"
56,CN,Beijing,Dongcheng District,Beijing EC Mall,"LILY, 2/F, Unit 30, 1-101, Danleng St., Haidian Dist.",57218836," 116.320346,39.986278"
57,CN,Beijing,Dongcheng District,"Shunyi-New World, Beijing",,15712849461," 116.658002,40.133101"
58,CN,Beijing,Dongcheng District,Beijing Thunisoft,"LILY, 3/F, Building B, Cybei Tower , Beijing Exhibition Center of Science and Technology, No. 2, South Zhongguancun St., Haidian Dist.",15712867436," 116.329725,39.971018"
59,CN,Beijing,Dongcheng District,Shunyi-Guotai,"LILY Counter, 4/F, South Xinshun Main St., Shunyi Dist., Beijing",13366470295," 116.658337,40.135852"
60,CN,Beijing,Dongcheng District,"Daxing-Ito Yokado, Beijing","LILY, 2/F, Ito Yokado, Na' er Crystal City, No. 26, Kangzhuang, Daxing Dist.",15712864629," 116.343981,39.763351"
61,CN,Beijing,Dongcheng District, LongDe Shopping Mall,"LILY, 2/F, LongDe Shopping Mall, No. 186, Litang Rd., Changping Dist.",84846436," 116.421981,40.067253"
62,CN,Beijing,Dongcheng District,"Tongtianyuan-Hualian, Beijing","LILY, 2/F, Tiantongyuan- Hualian, opposite to Farmer's Market in Taipingxing Garden(Tiantongyuan Subway Station), Changping Dist.",15712823359," 116.42015,40.074741"
63,CN,Beijing,Dongcheng District,"Changping-Guotai, Beijing","LILY Counter, 3/F, No. 24(Guotai), Fuxue Rd., Changping Dist.",80115035," 116.25002,40.226441"
64,CN,Beijing,Dongcheng District,"Chaobei-Joycity, Beijing","LILY, 4/F, Chaoyang- Joycity, No. 101, North Chaoyang Rd., Chaoyang Dist.",85563464," 116.524306,39.929783"
65,CN,Beijing,Dongcheng District,"Shilibao-Ito Yokado, Beijing","LILY, 2/F,  Ito Yokado, 5/6/F, Yard Yi-2 , Shilibao, Chaoyang Rd., Chaoyang Dist.",59145289," 116.511226,39.921781"
66,CN,Beijing,Dongcheng District,"Anzhen-Hualian, Beijing","LILY, 2/F, Anzhen Hualian, Building 4, Fifth Xili Dist., Chaoyang Dist.", 64436880-5276," 116.407953,39.977536"
67,CN,Beijing,Dongcheng District,U-town,"005, 006 & 007A, Room 301, Building 2, North Sanfeng Lane, Chaoyang Dist., Beijing ",13366467921," 116.446989,39.927542"
68,CN,Beijing,Dongcheng District,Shuangqiao-Guotai,"LILY Counter, 2/F,  Yard 2, Shuangqiao Rd., Chaoyang Dist., Beijing ",65702855," 116.583917,39.914012"
69,CN,Beijing,Dongcheng District,INDIGO,"LILY Counter, Unit 217, No. 18, Jiuxianqiao Road, Chaoyang District",84260778," 116.496943,39.976112"
70,CN,Beijing,Dongcheng District,"Wangjing-Hualian, Beijing","LILY, 2/F, No. 33, North Guangshun Main St., Chaoyang Dist.", 84771188-6232," 116.475396,39.998791"
71,CN,Beijing,Dongcheng District,Beijing-New World-3,"LILY Counter, 4/F, Building A, Wanda Plaza, No. 93, Jianguo Rd., Chaoyang Dist., Beijing",13366468235," 116.479226,39.914801"
72,CN,Beijing,Dongcheng District,"Shijingshan-Wanda, Beijing","LILY, 2/F, Wanda Plaza Pedestrian Street, Shijingshan, Shijingshan Dist.",15712807233," 116.230724,39.911992"
73,CN,Beijing,Dongcheng District,Xuanwu Rainbow,"Langqin International Building, No. 168, Guang' anmenwai Main St., Xuanwu Dist.",13366469277," 116.347798,39.8941"
74,CN,Beijing,Dongcheng District,Beijing New World-Phase 2,"LILY, 2/F, Phase 2 of New World, Chongwenmen Street",56231230," 116.423639,39.903151 "
75,CN,Shenzhen,Luohuo District,,"LILY Counter, 3/F in Maoye Department Store, No. 2047, Dongmenzhong Rd., Luohu Dist, Shenzhen",0755-25166057,"114.127676,22.553452"
76,CN,Shenzhen,Luohuo District,Heping-Maoye,"LILY Counter, 2/F, Maoye Department Store, No. 3009, Heping Road, Shenzhen",0755-25854016," 114.120695,22.550699"
77,CN,Shenzhen,Luohuo District,Guomao Rainbow,"LILY Counter, 2/F, Rainbow, No. 3002, South Renmin Road, Luohu District, Shenzhen",0755-82213406," 114.125679,22.547495"
78,CN,Shenzhen,Luohuo District,Shuanglong Rainbow,"LILY Counter, No. 3025, 3/F, Rainbow Mall, Longyingtai Commercial Center, No. 956, Shenhui Highway, Longgang Town, Longgang District, Shenzhen",0755-28832287," 114.284282,22.734594"
79,CN,Shenzhen,Luohuo District,Donghuan Rainbow,"LILY Counter, 2/F, No. 1, 1st East Ring Road, New Huaxin District, Shenzhen (next to Huangjia Center) (near Zhongbao International Hotel) ",0755-23088053," 114.055787,22.646859"
80,CN,Shenzhen,Luohuo District,Shahe Rainbow,"LILY Counter, 2/F, Inside Kingkey Banner Center, Intersection of Baishi Road and 2nd Shenwan Road",0755-86286427," 113.975822,22.536383"
81,CN,Shenzhen,Luohuo District,Nanshan Changxing Rainbow,"LILY Counter, 3/F, Rainbow Mall, Changxing, No. 86, Taoyuan Road, Nanshan, Shenzhen",0755-86061601," 113.928448,22.538561"
82,CN,Shenzhen,Luohuo District,Qianhe Rainbow,"LILY Counter, 2/F, Rainbow Mall, Zhenye Commercial Center, Intersection of Shennan Avenue and Qianhai Road, Nanshan District, Shenzhen",0755-86548902," 113.920856,22.546293"
83,CN,Shenzhen,Luohuo District,Garden City Center,"LILY Store, Store No. 217, 2/F, Huanyuancheng Center, Intersection of Dongbin Road and Nanhai Avenue, Shekou, Nanshan District",0755-26880052," 113.929759,22.508317"
84,CN,Shenzhen,Luohuo District,Nanshan-Huanglesong,"LILY Counter, 2/F, Fun Shopping Center, Nanshan, Huarun, No. 3030, Nanxin Road, Nanshan District, Shenzhen",0755-86646930," 113.926341,22.541129"
85,CN,Shenzhen,Luohuo District,Zuoling Xiangsong,"LILY Store, No. N-L178, 1/F, LVGEM Zuolin Xiangsong Shopping Cente, West of Minzhi Avenue, Minzhi Subdistrict, New Baolonghua District, Shenzhen",0755-23590292," 114.042182,22.635886"
86,CN,Shenzhen,Luohuo District,Qianjin Rainbow,"LILY Counter, 2/F, Qianjin Rainbow Mall, Huangjintai Commercial Mansion, No. 34-2, Qianjin Road, Baoan, Shenzhen",0755-29613857," 113.897801,22.583592"
87,CN,Shenzhen,Luohuo District,Xishang Rainbow,"LILY Counter, 2/F, Xishang Rainbow Mall, Intersection of Xixiang Avenue and Xinhu Road, Baoan District, Shenzhen",0755-23573855," 113.900497,22.584756"
88,CN,Shenzhen,Luohuo District,Huaqiang-Fine City,"LILY Store, 2/F, 1/F, Zijing City, No. 55, Zhenxing Road, Huaqianbei, Shenzhen",0755-22664102," 114.095373,22.552334"
89,CN,Shenzhen,Luohuo District,Excellence Century Center,"LILY Store, No. 221-222, Building 4, Excellence Century Center, Intersection of 3rd Fuhua Road and Jintian Road, Futian District, Shenzhen",0755-83232874," 114.070467,22.537714"
90,CN,Shenzhen,Luohuo District,Huaqiang-Maoye,"LILY Counter, 4/F, Maoye Department Store, No. 2006, North Huaqiang Road, Shenzhen",0755-83015089," 114.092898,22.551287"
91,CN,Shenzhen,Luohuo District,Meilin Rainbow,"LILY Counter, 3/F, Meilin Rainbow, Meilin Road, Futian District, Shenzhen",0755-82956876," 114.067626,22.573615"
92,CN,Shenzhen,Luohuo District,COCOPARK,"LILY Store, No. B1S-009 & 010 Store, B1, COCOPark, No. 269, 3rd Fuhua Road, Futian Central District, Shenzhen",0755-83296037," 114.060537,22.538657"
93,CN,Shenzhen,Luohuo District,Central Walk,"LILY Store, Atrium of G Floor, Central Walk, 1st Fuhua Road, Futian District, Shenzhen",0755-82801255," 114.066663,22.542212"
94,CN,Shenzhen,Luohuo District,Shennan-Maoye,"LILY Counter, 2/F, Maolai Department Store, Xinhua Hotel, No. 2020, Middle Shennan Road, Futian District, Shenzhen",0755-83548321," 114.099155,22.546948"
95,CN,Guangzhou,Liwan District,"LILY Counter, 2/F in Simgo Department Store, No. 666, Kang Wang Zhong Rd., Liwan Dist., Guangzhou","LILY Counter, 2/F in Simgo Department Store, No. 666, Kang Wang Zhong Rd., Liwan Dist., Guangzhou",020-81336315,"113.254345,23.13037"
96,CN,Guangzhou,Liwan District,Guangbai(Dongshan),"LILY Counte, 2/F, Dongshan Store, Guangzhou Department Store",020-87676517," 113.303861,23.135615"
97,CN,Guangzhou,Liwan District,China Plaza,"LILY Store, No. A20, B1, China Plaza, No. 33, 3rd Zhongshan Road, Yuexiu District, Guangzhou, Guangdong",020-83739146," 113.289307,23.131837"
98,CN,Guangzhou,Liwan District,Grandview Mall,"LILY Store, No. 1A032L.1A032M, 1/F, Zhengjia Plaza, No. 228, Tianhe Road, Tianhe District, Guangzhou",020-38350621," 113.333869,23.138652"
99,CN,Guangzhou,Liwan District,Parking apron 5,"LILY Store, No. L1077N Store, 1/F, No.5 Parking Field, Building 353, Yunxiao Road, Baiyun District, Guangzhou",," 113.27086,23.185818 "
100,CN,Wuhan,Wuchang District,"LILY Counter, 2/F in Wuhan Xudong Shopping Mall, Xudongyi Rd., Wuchang Dist., Wuhan, Hubei",,,"114.352312,30.59566"
101,CN,Wuhan,Wuchang District,Wuhan-Luxiang Plaza,"LILY Counter, 3/F,  Luxiang Plaza Shopping Center, No. 726, Luoyu Road, Wuchang District, Wuhan, Hubei",," 114.403353,30.512604"
102,CN,Wuhan,Wuchang District,"Lingjiaohu-Wanda, Wuhan","LILY Counter, 2-6, 2/F, Wanda Plaza, Lingjiaohu, No. 5, Tangjiadun Road, Jianghan District, Wuhan, Hubei",027-85698590," 114.274772,30.615614"
103,CN,Wuhan,Wuchang District,"Grandocean Department Store, Zhongshan Rd., Wuhan","LILY Counter, 3/F, Grand Ocean Department Store, No. 890, Zhongshan Avenue, Jianghan District, Wuhan, Hubei",027-82456985," 114.296457,30.583278"
104,CN,Wuhan,Wuchang District,"Hanshang 21th Century, Wuhan","LILY Counter, 2/F, Hanshang 21st Century Shopping Plaza, No. 687, Hangyang Avenue, Hanyang District, Wuhan, Hubei",027-84958096," 114.217523,30.567456"
105,CN,Wuhan,Wuchang District,"Hanshang (Wuzhan), Wuhan","LILY Counter, Section A, B1, No. 372-374, Jiefang Avenue, Hankou, Wuhan, Hubei",," 114.27903,30.587366"
106,CN,Wuhan,Wuchang District,"Jingkai-Wanda, Wuhan","LILy Counter, No. 131, 1/F Indoor Pedestrian Street of  Section A Shopping Center, Wanda Plaza, Wuhan Economic and Technological Development Zone, Hubei",027-84250768," 114.180239,30.512865"
107,CN,Wuhan,Wuchang District,Wuhan-Qingshan Mall,"LILY Counter, 2/F, No. 1542, Wuchang Heping Avenue, Qingshan District, Wuhan, Hubei",027-86338958," 114.409172,30.645178"
108,CN,Wuhu,Jinghu Discritct,Huayi International Shopping Mall,"3/F in Building B of Huayi International Shopping Mall, Zhongshanbei Rd., Jinghu Dist., Wuhu",0553-3889418,"118.377354,31.336401"
109,CN,Wuhu,Jinghu Discritct,Wanda Plaza,"LILY Counter, 2/F, Wanda Plaza Indoor Pedestrian Street, Jinghu Dist., Wuhu",0553-3997108,"118.389219,31.352277"
110,CN,Xuanchen,-,New Bay Shopping Center,"3/F, New Bay Shopping Center in Fushan Square, Xuancheng",0563-2828322,"118.76867,30.952015"
111,CN,Xuanchen,-,Yaohan Square,"lily, 3/F, Yaohan Square, No.12, West Zhangdie Rd., Xuancheng",0563-3025725,"118.761648,30.949886"
112,CN,Huainan,-,Hualian Department Store,"LILY,3/F, Hualian Department Store, No.1, Middle Longhu Rd., Huainan, Anhui",18955458503,"117.023449,32.647127"
113,CN,Liuan,-,-,"lily Counter, 2/F, Baiyun Shopping Mall, B1-20, Mingzhu Square, Middle Jiefang Rd., Liuan, Anhui",18956416013,"116.503121,31.760021"
114,CN,Huaibei,-,-,"LILY Counter, 2/F, No.69, Middle Huaihai Rd., Liuan, Anhui",13856125522,"116.800128,33.978663"
115,CN,Hefei,-,Guogou Plaza,"1/F, Guogou Plaza, Sanli' an, Hefei",0551-65370268,"117.262368,31.8606"
116,CN,Hefei,-,Cosmo City,"2/F, Cosmo City, Sanli' an, Hefei",0551-65171631,"117.263536,31.860968"
117,CN,Hefei,-,-,"No.48, Suzhou Road, Hefei",0551-62617916,"117.295773,31.866848"
118,CN,Hefei,-,Hulian Department Store,"First floor, Beijing Hulian Department Store at the intersection between Suixi Road and Mengcheng Road, Hefei",0551-65530569,"117.285453,31.885668"
119,CN,Chuzhou,-,Baiyun Shopping Mall,"3/F, Baiyun Shopping Mall, No. 738, North Nanqiao Road, Chuzhou",15955003731,"118.317678,32.311852"
120,CN,Hefei,-,Suzhou Central Shopping Mall,"3/F, Suzhou Central Shopping Mall, Suzhou",18225576098,"116.987564,33.638825"
121,CN,Hefei,-,-,"intersection between Middle Huaihai Rd. and Bianhe Rd., Yongqiao Dist, Suzhou, Anhui",13855770181,"116.988313,33.638202"
122,CN,Haozhou,-,Jinrui Yintai Shopping Mall,"2/F, Jinrui Yintai Shopping Mall, Haozhou",15056789561,"115.792286,33.864281"
123,CN,Fuyang,-,Qianbaiyi Shopping Mall,"3/F, Qianbaiyi Shopping Mall, Renmin Rd., Fuyang",0558-2277879,"115.829987,32.911743"
124,CN,Tongling,-,Fortune Plaza,"lily Counter, Room 112, Building 2, Fortune Plaza, Tongguanshan District, Tongling, Anhui",,"117.824668,30.933531"
125,CN,Lianyungang, Xinpu,-,"lily Counter, 3/F, No.118, North Tongguan Rd., Jiulong Great World, Xinpu Dist. Lianyungang, Jiangsu",,"119.190032,34.607801"
126,CN,Dongtai,-,-,"No. 87, Pedestrian Street, Middle Gulou Rd., Dongtai, Jiangsu",,"120.32357,32.851697"
127,CN,Gaoyou,-,-,"No. 6, Pedestrian Street, Gaoyou, Jiangsu",,"119.4464,32.791152"
128,CN,Haimen,-,-,"No. 584, Middle Jiefang Rd., Haimen, Jiangsu",,"121.18473,31.90043"
